Volunteer,2ndEdit,Category,Source,Author,PullQuote,Quote
Daniel,ks,Precious Human Life,https://www.youtube.com/watch?v=clCCI6gR7mc&list=PL8DRNsjySiiaU15Gr0ZX05cdzixFdlfwG&index=133,Ven. Thubten Chodron,"Remember that our lives are short, and we can’t go back and do anything over again.","Remember that our lives are short, and we can’t go back and do anything over again. Knowing this, it’s important to make each day of our precious human life matter and not to waste our time. By some stroke of good fortune, we did not die last week or last night, so we have yet another opportunity to practice the Dharma and use our time to get ourselves out of samsara. $Let’s work hard to become awakened so that we can help all other beings out of samsara. Let’s make a determination to remember that we won’t always have this chance and so use each moment wisely and with that motivation in mind."
Daniel,ks,Bodhicitta,https://www.youtube.com/watch?v=JufXvWJcRfY&list=PL8DRNsjySiiaU15Gr0ZX05cdzixFdlfwG&index=132,Ven. Thubten Chodron,"Generate a mind of compassion that wants living beings to be free from suffering, the great resolve to get involved in bringing that about, and the bodhicitta aiming for full awakening.","Let’s not have “all sentient beings” be some abstract idea that we routinely recite but have no feeling for and instead let's think of individuals. Let’s think of the whole sky filled with stars and the many living beings having many different kinds of experiences out in the universe. They all want happiness just like we do and there’s no reason why our happiness matters more than their happiness. $Let’s generate a mind of compassion that wants living beings to be free from suffering, the great resolve to get involved in bringing that about, and the bodhicitta aiming for full awakening."
Daniel,ks,Disturbing Emotions,https://www.youtube.com/watch?v=3TlMsnopaNQ&list=PL8DRNsjySiiaU15Gr0ZX05cdzixFdlfwG&index=131,Ven. Thubten Tarpa,Pay close attention to our minds to notice when afflictions arise and then work with them so that we can make progress day-by-day.,"Let’s pay close attention to our minds to notice when afflictions arise and then work with them so that we can make progress day by day. In this way, we can progress on the path to full awakening in order to benefit all sentient beings. Let’s recognize when laziness, wrong views, or even a bad attitude is present in our minds and take steps to address the problem rather than becoming complacent. $Let’s always remember that we are working toward awakening not just to free ourselves from cyclic existence but so that we can help all sentient beings to find that freedom, too."
Daniel,ks,Living the Practice,https://www.youtube.com/watch?v=r2ctEoaeejA&list=PL8DRNsjySiiaU15Gr0ZX05cdzixFdlfwG&index=130,Ven. Thubten Chodron,Generate compassion for those beings who have not met the Dharma in this life and always remember our true motivation.,"We are so fortunate to be alive today. We are so fortunate to have met the Dharma in this life and to have the opportunity to practice. Sadly, countless sentient beings are not so fortunate. Let’s keep those beings in mind when working to progress on the path, and let’s work hard to become fully awakened so that we can help them. Let’s generate compassion for those beings and always remember our true motivation."
Daniel,ks,Karma,https://www.youtube.com/watch?v=xVIwT3SBpRw&list=PL8DRNsjySiiaU15Gr0ZX05cdzixFdlfwG&index=129,Ven. Thubten Chodron,"It’s important that we use our time wisely so, when it comes time to die, we feel we offered something meaningful to other living beings.","Even people who are terminally ill do not wake up thinking they are going to die. Just like us, they wake up thinking of plans they have made and things they intend to do. However, when karma ripens, there is no choice. $It’s important that we use our time wisely. Instead of using it to cultivate grudges, arrogance, and various mental defilements, we can instead use our time to generate compassion and cultivate wisdom so that we can make our life one that is of benefit to others. If we do, then when it comes time to die, we feel comfortable and pleased with our lives rather than having fear or regret. We feel like we had a life worth living because we offered something meaningful to other living beings."
Daniel,ks,Living the Practice,https://www.youtube.com/watch?v=80TocJ5ytq8&list=PL8DRNsjySiiaU15Gr0ZX05cdzixFdlfwG&index=128,Ven. Thubten Chodron,Let us use our situation to develop our minds and penetrate these afflictions so that we can abolish them once and for all.,"Let’s generate gratitude for all the things in our lives that help us to practice, like the electricity that keeps us warm and comfortable. This is a huge difference from what the beings in the hell realms are experiencing. We don’t even like a little bit of cold; what’s it like being born in the cold hells where it’s cold and dark for quite a long time? Thankfully, we aren’t in that situation now. We have quite the comfortable situation, so let’s use it to develop our minds and penetrate these afflictions so that we can abolish them once and for all."
Daniel,ks,Precious Human Life,https://www.youtube.com/watch?v=jRoOIXS9T04&list=PL8DRNsjySiiaU15Gr0ZX05cdzixFdlfwG&index=127,Ven. Thubten Chodron,"We are fortunate that in this life we have been able to find a meaningful direction in the Buddha, Dharma, and Sangha.","We are fortunate that in this life we have been able to find a meaningful direction rather than wandering around doing who knows what, motivated by any impulsive emotion that enters our mind. Instead, we’ve been able to find the Buddha, Dharma, and Sangha, to have confidence in them based on knowing what they are and trusting them, and to cultivate a relationship with them. If any other karma had ripened in this life, we could have been born in a completely different situation, and we would have been influenced by whatever environment we were born into. $So, with a sense of compassion for people born into difficult situations, let’s use the opportunity we have for this very short time to do something useful for ourselves and for them."
Daniel,ks,Bodhicitta,https://www.youtube.com/watch?v=rrRlH59Naa4&list=PL8DRNsjySiiaU15Gr0ZX05cdzixFdlfwG&index=126,Ven. Thubten Jigme,"The most excellent way to make spiritual progress is to develop within ourselves, more and more, a kind and warm heart.","We won't have a better opportunity for achieving enlightenment than we have now as human beings, so it’s important that we know all the procedures for making the best use of it. The most excellent way to make spiritual progress is to develop within ourselves, more and more, a kind and warm heart. On the basis of a warm heart, we then go on to develop the dedicated heart of bodhicitta: the wish to achieve enlightenment, to eliminate all our shortcomings, and to achieve our fullest potential in order to benefit all beings as much as possible. When we dedicate our heart to others and achieve enlightenment, that’s the best use we could make of our precious human rebirth."
Daniel,ks,Disturbing Emotions,https://www.youtube.com/watch?v=62idn250a_g&list=PL8DRNsjySiiaU15Gr0ZX05cdzixFdlfwG&index=125,Ven. Thubten Tarpa,"One of the most wonderful things about a precious human life is that, at any instant, we have the capacity to change our minds from a non-virtuous state to a virtuous state.","One of the most wonderful things about a precious human life is that, at any instant, we have the capacity to change our minds from a nonvirtuous state to a virtuous state. Let’s continually remember that and not ever give up, even when our afflictions are stronger than our antidotes. $Even when we aren’t getting as far as we’d like, as long as we keep our minds moving with the Dharma, eventually we will overcome. Let’s continue to work hard along this amazing path and keep trying to send positive energy out to a world that really needs it. Let’s follow this path to full awakening for the benefit of all beings in this universe and beyond."
Daniel,ks,Precious Human Life,https://www.youtube.com/watch?v=Gr3pU91SHig&list=PL8DRNsjySiiaU15Gr0ZX05cdzixFdlfwG&index=124,Ven. Thubten Samten,Let us keep our minds infused with the motivation to become fully awakened so that eventually we can be of benefit to all beings.,"Somehow, partly in this life but also through great effort in many, many past lives, we’ve created the causes and conditions to be interested in the Dharma and to pursue that interest in this life with enthusiasm. When we look at the planet, very few people either have the interest or the causes and conditions to meet the Dharma. $So, let’s take a moment to really reflect on this remarkable opportunity that we have, and let’s keep our minds infused with the motivation to become fully awakened so that eventually we can be of benefit to all beings."
Daniel,ks,Living the Practice,https://www.youtube.com/watch?v=1ikISiItURo&list=PL8DRNsjySiiaU15Gr0ZX05cdzixFdlfwG&index=123,Ven. Thubten Tsultrim,"Begin with a sincere desire to benefit, regardless of what others might say.","His Holiness the Dalai Lama reminds us, “Sometimes we want to develop a certain skill or to help others, but our work does not turn out as we wished and we feel discouraged. This happens to me, too, but when I examine my motivation, my confidence returns. I begin with a sincere desire to benefit. Regardless of what others might say, knowing my motivation was genuine gives me courage and inner strength. Even though I may not be outwardly successful, I still feel satisfied.”"
Daniel,ks,Living the Practice,https://www.youtube.com/watch?v=jhqXC0G9MLE&list=PL8DRNsjySiiaU15Gr0ZX05cdzixFdlfwG&index=122,Ven. Thubten Jampa,"It’s up to us to liberate ourselves from suffering, from duhkha.","It’s up to us to liberate ourselves from suffering, from duhkha. There is nobody who can do the work for us. The great master Nagarjuna said that “liberation depends on the effort of each individual, him or herself.” We have to put effort into it and use the right methods to liberate us from suffering. $This puts the responsibility on us, and it’s very easy to distract ourselves from the Dharma. We could be going to a party, watching television, or even talking endlessly about politics. One of the most effective meditations to help with this is to consider impermanence, to remember that our time is very short so that we use that time wisely in a way that will benefit others and ourselves."
